Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,6714
Median Income,Income Tax,State + Local Taxes,8535
Median Income,Spending,Food,4777
Median Income,Spending,Alcohol,544
Median Income,Spending,Housing,21393
Median Income,Spending,Apparel and Services,1847
Median Income,Spending,Transportation,11790
Median Income,Spending,Healthcare,5479
Median Income,Spending,Entertainment,3257
Median Income,Spending,Personal care,810
Median Income,Spending,Education,1083
Median Income,Saving,,17357
